A    AX 
chapa    SCH A+ P AX 
chapas   SCH A+ P AX S 
chapéu   SCH A P E+ UX 
chapéus  SCH A P E+ UX S 
charlatão    SCH A RR L A T A~+ W~ 
charme   SCH A+ RR M IX 
charuto  SCH A R U+ T UX 
chata    SCH A+ T AX 
chateado     SCH A T E A+ D UX 
chato    SCH A+ T UX 
chave    SCH A+ V IX 
chaves   SCH A+ V IX S 
checar   SCH E K A+ RR 
checo    SCH E+ K UX 
chefe    SCH E+ F IX 
chefes   SCH E+ F IX S 
chefia   SCH E F I+ AX 
chefão   SCH E F A~+ W~ 
chega    SCH E+ G AX 
chegada  SCH E G A+ D AX 
chegado  SCH E G A+ D UX 
chegam   SCH E+ G A~+ W~ 
chegamos     SCH E G A~+ M UX S 
chegando     SCH E G A~+ D UX 
chegar   SCH E G A+ RR 
chegaram     SCH E G A+ R A~+ W~ 
chegarei     SCH E G A R E+ IX 
chegarem     SCH E G A+ R E~ I~ 
chegaremos   SCH E G A R E+ M UX S 
chegaria     SCH E G A R I+ AX 
chegarmos    SCH E G A+ RR M UX S 
chegará  SCH E G A R A+ 
chegarão     SCH E G A R A~+ W~ 
chegasse     SCH E G A+ S IX 
chegassem    SCH E G A+ S E~ I~ 
chegava  SCH E G A+ V AX 
chegavam     SCH E G A+ V A~+ W~ 
chego    SCH E+ G UX 
chegou   SCH E G O+ 
chegue   SCH E+ G IX 
cheguei  SCH E G E+ IX 
cheguemos    SCH E G E+ M UX S 
cheia    SCH E+ I AX 
cheias   SCH E+ I AX S 
cheio    SCH E+ I UX 
cheios   SCH E+ I UX S 
cheira   SCH E+ I R AX 
cheirando    SCH E I R A~+ D UX 
cheiro   SCH E+ I R UX 
cheiros  SCH E+ I R UX S 
cheque   SCH E+ K IX 
cheques  SCH E+ K IX S 
chiclete     SCH I K L E+ TJ IX 
chicotes     SCH I K O+ TJ IX S 
chifre   SCH I+ F R IX 
chilena  SCH I L E+ N AX 
chileno  SCH I L E+ N UX 
chilenos     SCH I L E+ N UX S 
chinesa  SCH I N E+ Z AX 
chinesas     SCH I N E+ Z AX S 
chineses     SCH I N E+ Z IX S 
chinês   SCH I N E+ S 
chips    SCH I+ P S 
chique   SCH I+ K IX 
choca    SCH O+ K AX 
chocada  SCH O K A+ D AX 
chocado  SCH O K A+ D UX 
chocando     SCH O K A~+ D UX 
chocante     SCH O K A~+ TJ IX 
chocantes    SCH O K A~+ TJ IX S 
chocar   SCH O K A+ RR 
chocolate    SCH O K O L A+ TJ IX 
chocolates   SCH O K O L A+ TJ IX S 
chocou   SCH O K O+ 
chope    SCH O+ P IX 
choque   SCH O+ K IX 
choques  SCH O+ K IX S 
chora    SCH O+ R AX 
choram   SCH O+ R A~+ W~ 
chorando     SCH O R A~+ D UX 
chorar   SCH O R A+ RR 
chorava  SCH O R A+ V AX 
choravam     SCH O R A+ V A~+ W~ 
choro    SCH O+ R UX 
chorou   SCH O R O+ 
chove    SCH O+ V IX 
chover   SCH O+ V E RR 
choveu   SCH O V E+ UX 
chumbo   SCH U~+ B UX 
churrasco    SCH U RR A+ S K UX 
chuta    SCH U+ T AX 
chutar   SCH U T A+ RR 
chute    SCH U+ TJ IX 
chutes   SCH U+ TJ IX S 
chutou   SCH U T O+ 
chuva    SCH U+ V AX 
chuvas   SCH U+ V AX S 
chuveiro     SCH U V E+ I R UX 
chuvosa  SCH U V O+ Z AX 
chuvoso  SCH U V O+ Z UX 
chuvosos     SCH U V O+ Z UX S 
chá  SCH A+ 
chácara  SCH A+ K A R AX 
chão     SCH A~+ W~ 
cibernética  S I B E RR N E+ TJ I K AX 
cicatrizes   S I K A T R I+ Z IX S 
ciclismo     S I K L I+ Z M UX 
ciclista     S I K L I+ S T AX 
ciclistas    S I K L I+ S T AX S 
ciclo    S I+ K L UX 
ciclos   S I+ K L UX S 
cidadania    S I D A D A N I+ AX 
cidade   S I D A+ DJ IX 
cidades  S I D A+ DJ IX S 
cidadã   S I D A D A~+ 
cidadão  S I D A D A~+ W~ 
cidadãos     S I D A D A~+ W~ S 
ciente   S I E~+ TJ IX 
cientificamente  S I E~ TJ I F I K A M E~+ TJ IX 
cientista    S I E~ TJ I+ S T AX 
cientistas   S I E~ TJ I+ S T AX S 
científica   S I E~ TJ I+ F I K AX 
científicas  S I E~ TJ I+ F I K AX S 
científico   S I E~ TJ I+ F I K UX 
científicos  S I E~ TJ I+ F I K UX S 
cifra    S I+ F R AX 
cifras   S I+ F R AX S 
cigana   S I G A~+ N AX 
cigano   S I G A~+ N UX 
ciganos  S I G A~+ N UX S 
cigarro  S I G A+ RR UX 
cigarros     S I G A+ RR UX S 
cilada   S I L A+ D AX 
cilindros    S I L I~+ D R UX S 
cima     S I+ M AX 
cimento  S I M E~+ T UX 
cinco    S I~+ K UX 
cine     S I+ N IX 
cineasta     S I N E A+ S T AX 
cineastas    S I N E A+ S T AX S 
cinegrafistas    S I N E G R A F I+ S T AX S 
cinema   S I N E+ M AX 
cinemas  S I N E+ M AX S 
cinematografia   S I N E M A T O G R A F I+ AX 
cinematográfica  S I N E M A T O G R A+ F I K AX 
cinematográficas     S I N E M A T O G R A+ F I K AX S 
cinematográfico  S I N E M A T O G R A+ F I K UX 
cinismo  S I N I+ Z M UX 
cinquenta    S I~ K E~+ T AX 
cinta    S I~+ T AX 
cinto    S I~+ T UX 
cintos   S I~+ T UX S 
cintura  S I~ T U+ R AX 
cinza    S I~+ Z AX 
cinzas   S I~+ Z AX S 
cinzenta     S I~ Z E~+ T AX 
cinzento     S I~ Z E~+ T UX 
cinéfilos    S I N E+ F I L UX S 
circo    S I+ RR K UX 
circuito     S I RR K U+ I T UX 
circuitos    S I RR K U+ I T UX S 
circula  S I RR K U+ L AX 
circulam     S I RR K U+ L A~+ W~ 
circulando   S I RR K U L A~+ D UX 
circular     S I RR K U L A+ RR 
circularam   S I RR K U L A+ R A~+ W~ 
circulava    S I RR K U L A+ V AX 
circulavam   S I RR K U L A+ V A~+ W~ 
circulação   S I RR K U L A S A~+ W~ 
circunda     S I RR K U~+ D AX 
circunstancial   S I RR K U~ S T A~ S I A+ W 
circunstância    S I RR K U~ S T A~+ S I AX 
circunstâncias   S I RR K U~ S T A~+ S I AX S 
cirurgia     S I R U RR Z I+ AX 
cirurgias    S I R U RR Z I+ AX S 
cirurgião    S I R U RR Z I A~+ W~ 
cirúrgica    S I R U+ RR Z I K AX 
cirúrgico    S I R U+ RR Z I K UX 
cita     S I+ T AX 
citada   S I T A+ D AX 
citadas  S I T A+ D AX S 
citado   S I T A+ D UX 
citados  S I T A+ D UX S 
citam    S I+ T A~+ W~ 
citando  S I T A~+ D UX 
citar    S I T A+ RR 
citaram  S I T A+ R A~+ W~ 
citação  S I T A S A~+ W~ 
citou    S I T O+ 
civil    S I V I+ W 
civilizada   S I V I L I Z A+ D AX 
civilizado   S I V I L I Z A+ D UX 
civilizados  S I V I L I Z A+ D UX S 
civilização  S I V I L I Z A S A~+ W~ 
civis    S I V I+ S 
civismo  S I V I+ Z M UX 
ciência  S I E~+ S I AX 
ciências     S I E~+ S I AX S 
ciúme    S I U+ M IX 
ciúmes   S I U+ M IX S 
clandestina  K L A~ D E S TJ I+ N AX 
clandestinamente     K L A~ D E S TJ I N A M E~+ TJ IX 
clandestinas     K L A~ D E S TJ I+ N AX S 
clandestinidade  K L A~ D E S TJ I N I D A+ DJ IX 
clandestino  K L A~ D E S TJ I+ N UX 
clandestinos     K L A~ D E S TJ I+ N UX S 
clara    K L A+ R AX 
claramente   K L A R A M E~+ TJ IX 
claras   K L A+ R AX S 
clareza  K L A R E+ Z AX 
claridade    K L A R I D A+ DJ IX 
claro    K L A+ R UX 
claros   K L A+ R UX S 
clases   K L A+ Z IX S 
classe   K L A+ S IX 
classes  K L A+ S IX S 
classifica   K L A S I F I+ K AX 
classificados    K L A S I F I K A+ D UX S 
classificam  K L A S I F I+ K A~+ W~ 
classificar  K L A S I F I K A+ RR 
classificarem    K L A S I F I K A+ R E~ I~ 
classificatório  K L A S I F I K A T O+ R I UX 
classificou  K L A S I F I K O+ 
clemência    K L E M E~+ S I AX 
clero    K L E+ R UX 
clicando     K L I K A~+ D UX 
clichê   K L I SCH E+ 
clichês  K L I SCH E+ S 
cliente  K L I E~+ TJ IX 
clientela    K L I E~ T E+ L AX 
clientes     K L I E~+ TJ IX S 
clima    K L I+ M AX 
climas   K L I+ M AX S 
climática    K L I M A+ TJ I K AX 
climáticas   K L I M A+ TJ I K AX S 
climáticos   K L I M A+ TJ I K UX S 
clinicamente     K L I N I K A M E~+ TJ IX 
clip     K L I+ P IX 
clipe    K L I+ P IX 
clube    K L U+ B IX 
clubes   K L U+ B IX S 
clássica     K L A+ S I K AX 
clássicas    K L A+ S I K AX S 
clássico     K L A+ S I K UX 
clássicos    K L A+ S I K UX S 
cláusula     K L A+ U Z U L AX 
cláusulas    K L A+ U Z U L AX S 
clã  K L A~+ 
clãs     K L A~+ S 
clímax   K L I+ M A K S 
clínica  K L I+ N I K AX 
clínicas     K L I+ N I K AX S 
clínico  K L I+ N I K UX 
clínicos     K L I+ N I K UX S 
cm   K M 
co   K UX 
co-piloto    K O P I L O+ T UX 
coadjuvante  K O A DJ I Z U V A~+ TJ IX 
coadjuvantes     K O A DJ I Z U V A~+ TJ IX S 
coalizão     K O A L I Z A~+ W~ 
cobalto  K O B A+ W T UX 
coberta  K O B E+ RR T AX 
cobertas     K O B E+ RR T AX S 
coberto  K O B E+ RR T UX 
cobertores   K O B E RR T O+ R IX S 
cobertos     K O B E+ RR T UX S 
cobertura    K O B E RR T U+ R AX 
cobra    K O+ B R AX 
cobradas     K O B R A+ D AX S 
cobrado  K O B R A+ D UX 
cobrados     K O B R A+ D UX S 
cobram   K O+ B R A~+ W~ 
cobrando     K O B R A~+ D UX 
cobrança     K O+ B R A~+ S AX 
cobrar   K O B R A+ RR 
cobras   K O+ B R AX S 
cobrava  K O B R A+ V AX 
cobre    K O+ B R IX 
cobrem   K O+ B R E~ I~ 
cobria   K O B R I+ AX 
cobrindo     K O B R I~+ D UX 
cobrir   K O B R I+ RR 
cobriu   K O B R I+ UX 
cobro    K O+ B R UX 
cobrou   K O B R O+ 
coca     K O+ K AX 
cocar    K O K A+ RR 
cocaína  K O K A I+ N AX 
cocos    K O+ K UX S 
coerente     K O E R E~+ TJ IX 
coerência    K O E R E~+ S I AX 
coesão   K O E Z A~+ W~ 
coexistiram  K O E SCH I S TJ I+ R A~+ W~ 
cofre    K O+ F R IX 
cofres   K O+ F R IX S 
cogumelos    K O G U M E+ L UX S 
coincide     K O I~ S I+ DJ IX 
coincidem    K O I~ S I+ D E~ I~ 
coincidentemente     K O I~ S I D E~ T E M E~+ TJ IX 
coincidir    K O I~ S I DJ I+ RR 
coincidiu    K O I~ S I DJ I+ UX 
coincidência     K O I~ S I D E~+ S I AX 
coincidências    K O I~ S I D E~+ S I AX S 
coisa    K O+ I Z AX 
coisas   K O+ I Z AX S 
coitada  K O I T A+ D AX 
colabora     K O L A B O+ R AX 
colaborado   K O L A B O R A+ D UX 
colaborador  K O L A B O R A D O+ RR 
colaboradora     K O L A B O R A D O+ R AX 
colaboradores    K O L A B O R A D O+ R IX S 
colaboram    K O L A B O+ R A~+ W~ 
colaborando  K O L A B O R A~+ D UX 
colaborava   K O L A B O R A+ V AX 
colaboração  K O L A B O R A S A~+ W~ 
colaborou    K O L A B O R O+ 
colado   K O L A+ D UX 
colapso  K O L A+ P S UX 
colar    K O L A+ RR 
colares  K O L A+ R IX S 
colaterais   K O L A T E R A+ IX S 
colchão  K O W SCH A~+ W~ 
colchões     K O W SCH O~+ I~ S 
colecionador     K O L E S I O N A D O+ RR 
colecionadores   K O L E S I O N A D O+ R IX S 
colectiva    K O L E K TJ I+ V AX 
colectivo    K O L E K TJ I+ V UX 
colega   K O L E+ G AX 
colegas  K O L E+ G AX S 
colegiado    K O L E Z I A+ D UX 
colegial     K O L E Z I A+ W 
colegio  K O L E Z I+ UX 
colesterol   K O L E S T E R O+ W 
coleta   K O L E+ T AX 
coletadas    K O L E T A+ D AX S 
coletar  K O L E T A+ RR 
colete   K O L E+ TJ IX 
coletiva     K O L E TJ I+ V AX 
coletivas    K O L E TJ I+ V AX S 
coletividade     K O L E TJ I V I D A+ DJ IX 
coletivista  K O L E TJ I V I+ S T AX 
coletivo     K O L E TJ I+ V UX 
coletivos    K O L E TJ I+ V UX S 
coletânea    K O L E T A~+ N I AX 
colhe    K O+ LJ IX 
colheita     K O LJ E+ I T AX 
colheitas    K O LJ E+ I T AX S 
colhendo     K O LJ E~+ D UX 
colher   K O+ LJ E RR 
colhidas     K O LJ I+ D AX S 
colhido  K O LJ I+ D UX 
colhidos     K O LJ I+ D UX S 
coligação    K O L I G A S A~+ W~ 
colina   K O L I+ N AX 
colinas  K O L I+ N AX S 
colisão  K O L I Z A~+ W~ 
colisões     K O L I Z O~+ I~ S 
colo     K O+ L UX 
coloca   K O L O+ K AX 
colocada     K O L O K A+ D AX 
colocadas    K O L O K A+ D AX S 
colocado     K O L O K A+ D UX 
colocados    K O L O K A+ D UX S 
colocam  K O L O+ K A~+ W~ 
colocamos    K O L O K A~+ M UX S 
colocando    K O L O K A~+ D UX 
colocar  K O L O K A+ RR 
colocaram    K O L O K A+ R A~+ W~ 
colocarem    K O L O K A+ R E~ I~ 
colocará     K O L O K A R A+ 
colocassem   K O L O K A+ S E~ I~ 
colocava     K O L O K A+ V AX 
colocação    K O L O K A S A~+ W~ 
colocou  K O L O K O+ 
colombiana   K O L O~ B I A~+ N AX 
colombiano   K O L O~ B I A~+ N UX 
colombianos  K O L O~ B I A~+ N UX S 
colonial     K O L O N I A+ W 
colonização  K O L O N I Z A S A~+ W~ 
coloque  K O L O+ K IX 
coloquem     K O L O K E~+ I~ 
colorida     K O L O R I+ D AX 
coloridas    K O L O R I+ D AX S 
colorido     K O L O R I+ D UX 
coloridos    K O L O R I+ D UX S 
colossal     K O L O S A+ W 
coluna   K O L U+ N AX 
colunas  K O L U+ N AX S 
colunista    K O L U N I+ S T AX 
colégio  K O L E+ Z I UX 
colégios     K O L E+ Z I UX S 
com  K O~+ W~ 
coma     K O+ M AX 
comanda  K O M A~+ D AX 
comandada    K O M A~ D A+ D AX 
comandado    K O M A~ D A+ D UX 
comandante   K O M A~ D A~+ TJ IX 
comandantes  K O M A~ D A~+ TJ IX S 
comandar     K O M A~ D A+ RR 
comandava    K O M A~ D A+ V AX 
comando  K O M A~+ D UX 
comandos     K O M A~+ D UX S 
comandou     K O M A~ D O+ 
combate  K O~ B A+ TJ IX 
combatente   K O~ B A T E~+ TJ IX 
combatentes  K O~ B A T E~+ TJ IX S 
combater     K O~ B A+ T E RR 
combates     K O~ B A+ TJ IX S 
combateu     K O~ B A T E+ UX 
combatia     K O~ B A TJ I+ AX 
combatida    K O~ B A TJ I+ D AX 
combatido    K O~ B A TJ I+ D UX 
combatir     K O~ B A TJ I+ RR 
combina  K O~ B I+ N AX 
combinada    K O~ B I N A+ D AX 
combinado    K O~ B I N A+ D UX 
combinam     K O~ B I+ N A~+ W~ 
combinando   K O~ B I N A~+ D UX 
combinar     K O~ B I N A+ RR 
combinação   K O~ B I N A S A~+ W~ 
combinou     K O~ B I N O+ 
comboio  K O~ B O+ I UX 
comboios     K O~ B O+ I UX S 
combustíveis     K O~ B U S TJ I+ V E IX S 
combustível  K O~ B U S TJ I+ V E W 
come     K O+ M IX 
comece   K O M E+ S IX 
comecei  K O M E S E+ IX 
comecem  K O M E+ S E~+ I~ 
comediante   K O M E DJ I A~+ TJ IX 
comedido     K O M E DJ I+ D UX 
comem    K O+ M E~ I~ 
comemora     K O M E M O+ R AX 
comemorada   K O M E M O R A+ D AX 
comemorado   K O M E M O R A+ D UX 
comemoram    K O M E M O+ R A~+ W~ 
comemorando  K O M E M O R A~+ D UX 
comemorar    K O M E M O R A+ RR 
comemorará   K O M E M O R A R A+ 
comemorativa     K O M E M O R A TJ I+ V AX 
comemorativo     K O M E M O R A TJ I+ V UX 
comemorava   K O M E M O R A+ V AX 
comemoração  K O M E M O R A S A~+ W~ 
comemorações     K O M E M O R A S O~+ I~ S 
comemorou    K O M E M O R O+ 
comemos  K O M E+ M UX S 
comendador   K O M E~ D A D O+ RR 
comendo  K O M E~+ D UX 
comenta  K O M E~+ T AX 
comentado    K O M E~ T A+ D UX 
comentando   K O M E~ T A~+ D UX 
comentar     K O M E~ T A+ RR 
comentaram   K O M E~ T A+ R A~+ W~ 
comentou     K O M E~ T O+ 
comentário   K O M E~ T A+ R I UX 
comentários  K O M E~ T A+ R I UX S 
comer    K O+ M E RR 
comerciais   K O M E RR S I A+ IX S 
comercial    K O M E RR S I A+ W 
comercializa     K O M E RR S I A L I+ Z AX 
comercializados  K O M E RR S I A L I Z A+ D UX S 
comercialização  K O M E RR S I A L I Z A S A~+ W~ 
comerciante  K O M E RR S I A~+ TJ IX 
comerciantes     K O M E RR S I A~+ TJ IX S 
comercio     K O M E RR S I+ UX 
comestíveis  K O M E S TJ I+ V E IX S 
cometa   K O M E+ T AX 
comete   K O M E+ TJ IX 
cometem  K O M E+ T E~ I~ 
cometendo    K O M E T E~+ D UX 
cometer  K O M E+ T E RR 
cometeu  K O M E T E+ UX 
cometi   K O M E TJ I+ 
cometido     K O M E TJ I+ D UX 
cometidos    K O M E TJ I+ D UX S 
comeu    K O M E+ UX 
começa   K O M E+ S AX 
começado     K O M E S A+ D UX 
começam  K O M E+ S A~+ W~ 
começamos    K O M E S A~+ M UX S 
começando    K O M E S A~+ D UX 
começar  K O M E S A+ RR 
começaram    K O M E S A+ R A~+ W~ 
começarmos   K O M E S A+ RR M UX S 
começo   K O M E+ S UX 
começou  K O M E S O+ 
comia    K O M I+ AX 
comiam   K O M I+ A~+ W~ 
comida   K O M I+ D AX 
comidas  K O M I+ D AX S 
comigo   K O M I+ G UX 
comissão     K O M I S A~+ W~ 
comissões    K O M I S O~+ I~ S 
comitiva     K O M I TJ I+ V AX 
comité   K O M I T E+ 
comitê   K O M I T E+ 
comitês  K O M I T E+ S 
commodities  K O~+ M O DJ I TJ I+ IX S 
como     K O+ M UX 
comoveu  K O M O V E+ UX 
comovida     K O M O V I+ D AX 
compacto     K O~ P A+ K T UX 
compactos    K O~ P A+ K T UX S 
compaixão    K O~ P A I SCH A~+ W~ 
companheira  K O~ P A~ NJ E+ I R AX 
companheiro  K O~ P A~ NJ E+ I R UX 
companheiros     K O~ P A~ NJ E+ I R UX S 
companhia    K O~ P A~ NJ I+ AX 
companhias   K O~ P A~ NJ I+ AX S 
comparada    K O~ P A R A+ D AX 
comparado    K O~ P A R A+ D UX 
comparados   K O~ P A R A+ D UX S 
comparam     K O~ P A+ R A~+ W~ 
comparar     K O~ P A R A+ RR 
comparativo  K O~ P A R A TJ I+ V UX 
comparação   K O~ P A R A S A~+ W~ 
comparecem   K O~ P A R E+ S E~+ I~ 
comparecendo     K O~ P A R E S E~+ D UX 
comparecer   K O~ P A R E+ S E RR 
compareceram     K O~ P A R E S E+ R A~+ W~ 
compareceu   K O~ P A R E S E+ UX 
comparecimento   K O~ P A R E S I M E~+ T UX 
compareçam   K O~ P A R E+ S A~+ W~ 
comparou     K O~ P A R O+ 
comparsas    K O~ P A+ RR S AX S 
compartilhado    K O~ P A RR TJ I LJ A+ D UX 
compartilham     K O~ P A RR TJ I+ LJ A~+ W~ 
compartilhamos   K O~ P A RR TJ I LJ A~+ M UX S 
compartilhar     K O~ P A RR TJ I LJ A+ RR 
compartilhem     K O~ P A RR TJ I+ LJ E~ I~ 
compartilhou     K O~ P A RR TJ I LJ O+ 
compartimento    K O~ P A RR TJ I M E~+ T UX 
compartimentos   K O~ P A RR TJ I M E~+ T UX S 
compatriotas     K O~ P A T R I O+ T AX S 
compatíveis  K O~ P A TJ I+ V E IX S 
compatível   K O~ P A TJ I+ V E W 
compensa     K O~ P E~+ S AX 
compensadas  K O~ P E~ S A+ D AX S 
compensado   K O~ P E~ S A+ D UX 
compensar    K O~ P E~ S A+ RR 
compensação  K O~ P E~ S A S A~+ W~ 
compete  K O~ P E+ TJ IX 
competem     K O~ P E+ T E~ I~ 
competente   K O~ P E T E~+ TJ IX 
competentes  K O~ P E T E~+ TJ IX S 
competidoras     K O~ P E TJ I D O+ R AX S 
competidores     K O~ P E TJ I D O+ R IX S 
competindo   K O~ P E TJ I~+ D UX 
competir     K O~ P E TJ I+ RR 
competitiva  K O~ P E TJ I TJ I+ V AX 
competitivas     K O~ P E TJ I TJ I+ V AX S 
competitividade  K O~ P E TJ I TJ I V I D A+ DJ IX 
competitivo  K O~ P E TJ I TJ I+ V UX 
competitivos     K O~ P E TJ I TJ I+ V UX S 
competição   K O~ P E TJ I S A~+ W~ 
competições  K O~ P E TJ I S O~+ I~ S 
competência  K O~ P E T E~+ S I AX 
competências     K O~ P E T E~+ S I AX S 
complementar     K O~ P L E M E~ T A+ RR 
complementares   K O~ P L E M E~ T A+ R IX S 
complementação   K O~ P L E M E~ T A S A~+ W~ 
complemento  K O~ P L E M E~+ T UX 
completa     K O~ P L E+ T AX 
completam    K O~ P L E+ T A~+ W~ 
completamente    K O~ P L E T A M E~+ TJ IX 
completando  K O~ P L E T A~+ D UX 
completar    K O~ P L E T A+ RR 
completaria  K O~ P L E T A R I+ AX 
completas    K O~ P L E+ T AX S 
completava   K O~ P L E T A+ V AX 
completavam  K O~ P L E T A+ V A~+ W~ 
completo     K O~ P L E+ T UX 
completos    K O~ P L E+ T UX S 
completou    K O~ P L E T O+ 
complexa     K O~ P L E+ SCH AX 
complexas    K O~ P L E+ SCH AX S 
complexidade     K O~ P L E SCH I D A+ DJ IX 
complexo     K O~ P L E+ SCH UX 
complexos    K O~ P L E+ SCH UX S 
complica     K O~ P L I+ K AX 
complicada   K O~ P L I K A+ D AX 
complicadas  K O~ P L I K A+ D AX S 
complicado   K O~ P L I K A+ D UX 
complicados  K O~ P L I K A+ D UX S 
complicando  K O~ P L I K A~+ D UX 
complicou    K O~ P L I K O+ 
componente   K O~ P O N E~+ TJ IX 
componentes  K O~ P O N E~+ TJ IX S 
compor   K O~ P O+ RR 
comporta     K O~ P O+ RR T AX 
comportadas  K O~ P O RR T A+ D AX S 
comportam    K O~ P O+ RR T A~+ W~ 
comportamento    K O~ P O RR T A M E~+ T UX 
comportamentos   K O~ P O RR T A M E~+ T UX S 
compositor   K O~ P O Z I T O+ RR 
compositores     K O~ P O Z I T O+ R IX S 
composição   K O~ P O Z I S A~+ W~ 
composições  K O~ P O Z I S O~+ I~ S 
composta     K O~ P O+ S T AX 
compostas    K O~ P O+ S T AX S 
composto     K O~ P O+ S T UX 
compostos    K O~ P O+ S T UX S 
compostura   K O~ P O S T U+ R AX 
compra   K O~+ P R AX 
comprada     K O~ P R A+ D AX 
compradas    K O~ P R A+ D AX S 
comprado     K O~ P R A+ D UX 
comprador    K O~ P R A D O+ RR 
compradora   K O~ P R A D O+ R AX 
compradores  K O~ P R A D O+ R IX S 
comprados    K O~ P R A+ D UX S 
compram  K O~+ P R A~+ W~ 
compramos    K O~ P R A~+ M UX S 
comprando    K O~ P R A~+ D UX 
comprar  K O~ P R A+ RR 
compraram    K O~ P R A+ R A~+ W~ 
comprarem    K O~ P R A+ R E~ I~ 
compras  K O~+ P R AX S 
comprava     K O~ P R A+ V AX 
compravam    K O~ P R A+ V A~+ W~ 
compre   K O~+ P R IX 
compreende   K O~ P R E E~+ DJ IX 
compreendem  K O~ P R E E~+ D E~ I~ 
compreendemos    K O~ P R E E~ D E+ M UX S 
compreender  K O~ P R E E~+ D E RR 
compreenderam    K O~ P R E E~ D E+ R A~+ W~ 
compreendi   K O~ P R E E~ DJ I+ 
compreendida     K O~ P R E E~ DJ I+ D AX 
compreendidas    K O~ P R E E~ DJ I+ D AX S 
compreendido     K O~ P R E E~ DJ I+ D UX 
compreendo   K O~ P R E E~+ D UX 
compreensão  K O~ P R E E~ S A~+ W~ 
compreensível    K O~ P R E E~ S I+ V E W 
comprei  K O~ P R E+ IX 
comprem  K O~+ P R E~ I~ 
comprido     K O~ P R I+ D UX 
compridos    K O~ P R I+ D UX S 
comprimento  K O~ P R I M E~+ T UX 
comprimidos  K O~ P R I M I+ D UX S 
comprometa   K O~ P R O M E+ T AX 
comprometem  K O~ P R O M E+ T E~ I~ 
comprometemos    K O~ P R O M E T E+ M UX S 
comprometendo    K O~ P R O M E T E~+ D UX 
comprometer  K O~ P R O M E+ T E RR 
comprometeu  K O~ P R O M E T E+ UX 
comprometidas    K O~ P R O M E TJ I+ D AX S 
comprometido     K O~ P R O M E TJ I+ D UX 
comprometimento  K O~ P R O M E TJ I M E~+ T UX 
compromisso  K O~ P R O M I+ S UX 
compromissos     K O~ P R O M I+ S UX S 
comprou  K O~ P R O+ 
comprova     K O~ P R O+ V AX 
comprovada   K O~ P R O V A+ D AX 
comprovado   K O~ P R O V A+ D UX 
comprovam    K O~ P R O+ V A~+ W~ 
comprovaram  K O~ P R O V A+ R A~+ W~ 
comprove     K O~ P R O+ V IX 
compulsoriamente     K O~ P U W S O R I A M E~+ TJ IX 
compulsórias     K O~ P U W S O+ R I AX S 
computador   K O~ P U T A D O+ RR 
computadores     K O~ P U T A D O+ R IX S 
compõe   K O~ P O~+ I~ 
compõem  K O~ P O~+ I~ 
comum    K O M U~+ 
comumente    K O M U M E~+ TJ IX 
comunhão     K O M U NJ A~+ W~ 
comunica     K O M U N I+ K AX 
comunicada   K O M U N I K A+ D AX 
comunicadas  K O M U N I K A+ D AX S 
comunicado   K O M U N I K A+ D UX 
comunicados  K O M U N I K A+ D UX S 
comunicam    K O M U N I+ K A~+ W~ 
comunicar    K O M U N I K A+ RR 
comunicará   K O M U N I K A R A+ 
comunicação  K O M U N I K A S A~+ W~ 
comunicações     K O M U N I K A S O~+ I~ S 
comunicou    K O M U N I K O+ 
comunidade   K O M U N I D A+ DJ IX 
comunidades  K O M U N I D A+ DJ IX S 
comunismo    K O M U N I+ Z M UX 
comunista    K O M U N I+ S T AX 
comunistas   K O M U N I+ S T AX S 
comunitário  K O M U N I T A+ R I UX 
comunitários     K O M U N I T A+ R I UX S 
comuns   K O M U~+ S 
comédia  K O M E+ DJ I AX 
comércio     K O M E+ RR S I UX 
comê     K O M E+ 
comício  K O M I+ S I UX 
comícios     K O M I+ S I UX S 
con  K O+ N 
concebeu     K O~ S E B E+ UX 
concebidas   K O~ S E B I+ D AX S 
concebido    K O~ S E B I+ D UX 
concede  K O~ S E+ DJ IX 
concedendo   K O~ S E D E~+ D UX 
